#pymecavideo
#video = C:/Users/rapha/Documents/Espace/viédos montées/plus300 tmd reso.mp4
#sens axe des X = 1
#sens axe des Y = 1
#origine de pointage = (221.000000, 210.000000)
#index de depart = 1
#echelle 0.125000 m pour 108.018517 pixel
#echelle pointee en (223.000000, 210.000000) (331.000000, 212.000000)
#intervalle de temps : 0.033367
#suivi de 1 point(s)
#temps en seconde, positions en mètre
#
7,54	-0,001157	0,229127	
7,57	0,001157	0,230285	
7,61	-0,003472	0,229127	
7,64	-0,001157	0,229127	
7,67	-0,001157	0,227970	
7,71	-0,002314	0,227970	
7,74	-0,003472	0,227970	
7,77	-0,003472	0,227970	
7,81	-0,003472	0,227970	
7,84	-0,003472	0,227970	
7,87	-0,002314	0,229127	
7,91	-0,006943	0,227970	
7,94	-0,006943	0,227970	
7,97	-0,006943	0,227970	
8,01	-0,004629	0,227970	
8,04	-0,001157	0,227970	
8,07	-0,002314	0,227970	
8,11	0,000000	0,229127	
8,14	0,000000	0,227970	
8,17	0,000000	0,227970	
8,21	0,001157	0,229127	
8,24	-0,001157	0,227970	
8,27	-0,001157	0,227970	
8,31	-0,002314	0,227970	
8,34	-0,005786	0,227970	
8,38	-0,004629	0,227970	
8,41	-0,004629	0,229127	
8,44	-0,004629	0,230285	
8,48	-0,008100	0,230285	
8,51	-0,003472	0,230285	
8,54	-0,001157	0,229127	
8,58	-0,003472	0,229127	
8,61	0,002314	0,230285	
8,64	-0,001157	0,227970	
8,68	0,000000	0,226813	
8,71	0,000000	0,226813	
8,74	0,000000	0,226813	
8,78	0,000000	0,225656	
8,81	-0,001157	0,226813	
8,84	-0,006943	0,227970	
8,88	-0,002314	0,230285	
8,91	-0,003472	0,229127	
8,94	-0,005786	0,229127	
8,98	-0,002314	0,230285	
9,01	-0,002314	0,224499	
9,04	-0,004629	0,224499	
9,08	-0,004629	0,224499	
9,11	-0,004629	0,224499	
9,14	-0,002314	0,226813	
9,18	-0,002314	0,226813	
9,21	-0,002314	0,226813	
9,24	-0,002314	0,226813	
9,28	-0,002314	0,226813	
9,31	-0,002314	0,226813	
9,34	-0,002314	0,226813	
9,38	-0,002314	0,226813	
9,41	-0,002314	0,226813	
